frame,time_s,x_pixel,y_pixel,x_meter,y_meter
119,4.1941,807.5,198.6,-4.5043,5.5199
120,4.2294,803.9,199.6,-4.5425,5.5093
121,4.2646,800.9,200.6,-4.5743,5.4987
122,4.2999,797.2,200.6,-4.6136,5.4987
123,4.3351,793.5,202.4,-4.6528,5.4796
124,4.3704,788.8,203.7,-4.7027,5.4658
125,4.4056,786.6,204.6,-4.7260,5.4562
126,4.4409,783.9,205.6,-4.7546,5.4456
127,4.4761,781.2,206.3,-4.7833,5.4382
128,4.5114,775.9,207.6,-4.8395,5.4244
129,4.5466,773.3,208.2,-4.8671,5.4180
130,4.5818,769.6,209.6,-4.9063,5.4032
131,4.6171,766.6,210.9,-4.9381,5.3894
132,4.6523,765.3,211.9,-4.9519,5.3788
133,4.6876,762.2,212.6,-4.9848,5.3714
134,4.7228,758.5,213.6,-5.0241,5.3608
135,4.7581,753.8,214.9,-5.0739,5.3470
136,4.7933,750.8,215.9,-5.1057,5.3364
137,4.8286,747.8,217.6,-5.1375,5.3183
138,4.8638,744.8,219.6,-5.1694,5.2971
139,4.8990,740.8,220.6,-5.2118,5.2865
140,4.9343,739.5,221.0,-5.2256,5.2823
141,4.9695,736.1,222.7,-5.2616,5.2643
142,5.0048,733.1,224.7,-5.2935,5.2430
143,5.0400,730.1,226.4,-5.3253,5.2250
144,5.0753,726.8,229.4,-5.3603,5.1932
145,5.1105,726.2,229.2,-5.3666,5.1953
146,5.1458,723.4,229.4,-5.3963,5.1932
147,5.1810,719.7,230.8,-5.4356,5.1783
148,5.2162,716.0,233.5,-5.4748,5.1497
149,5.2515,713.4,236.2,-5.5024,5.1211
150,5.2867,709.7,239.2,-5.5417,5.0892
151,5.3220,705.7,241.5,-5.5841,5.0648
152,5.3572,701.7,243.1,-5.6265,5.0479
153,5.3925,699.4,244.1,-5.6509,5.0373
154,5.4277,693.5,249.3,-5.7135,4.9821
155,5.4630,689.0,253.2,-5.7612,4.9407
156,5.4982,686.4,254.1,-5.7888,4.9312
157,5.5335,683.0,256.8,-5.8249,4.9026
158,5.5687,681.1,258.1,-5.8450,4.8888
159,5.6039,678.7,260.8,-5.8705,4.8601
160,5.6392,674.3,263.9,-5.9171,4.8273
161,5.6744,672.8,265.1,-5.9330,4.8145
162,5.7097,669.4,269.2,-5.9691,4.7710
163,5.7449,666.4,272.9,-6.0009,4.7318
164,5.7802,662.7,275.9,-6.0402,4.7000
165,5.8154,658.7,278.5,-6.0826,4.6724
166,5.8507,655.4,281.5,-6.1176,4.6406
167,5.8859,652.4,285.9,-6.1494,4.5939
168,5.9211,650.4,287.1,-6.1706,4.5812
169,5.9564,647.7,290.2,-6.1993,4.5483
170,5.9916,644.0,294.6,-6.2385,4.5016
171,6.0269,642.8,296.1,-6.2513,4.4857
172,6.0621,639.7,299.9,-6.2841,4.4454
173,6.0974,637.4,300.8,-6.3085,4.4359
174,6.1326,634.7,304.9,-6.3372,4.3924
175,6.1679,631.7,308.2,-6.3690,4.3574
176,6.2031,629.4,311.2,-6.3934,4.3256
177,6.2384,626.7,317.0,-6.4220,4.2640
178,6.2736,624.1,320.9,-6.4496,4.2227
179,6.3088,621.0,324.6,-6.4825,4.1834
180,6.3441,616.6,331.0,-6.5291,4.1155
181,6.3793,612.3,334.5,-6.5748,4.0784
182,6.4146,608.0,338.9,-6.6204,4.0317
183,6.4498,605.8,339.8,-6.6437,4.0222
184,6.4851,603.8,343.6,-6.6649,3.9819
185,6.5203,602.1,346.5,-6.6829,3.9511
186,6.5556,599.4,352.0,-6.7116,3.8928
187,6.5908,595.3,355.9,-6.7551,3.8514
188,6.6260,592.4,358.5,-6.7858,3.8239
189,6.6613,589.0,363.6,-6.8219,3.7698
190,6.6965,587.1,367.9,-6.8420,3.7241
191,6.7318,584.4,372.6,-6.8707,3.6743
192,6.7670,581.0,378.0,-6.9068,3.6170
193,6.8023,578.0,383.0,-6.9386,3.5640
194,6.8375,575.7,386.9,-6.9630,3.5226
195,6.8728,573.4,389.5,-6.9874,3.4950
196,6.9080,571.1,393.2,-7.0118,3.4558
197,6.9432,568.7,397.6,-7.0372,3.4091
198,6.9785,565.0,401.9,-7.0765,3.3635
199,7.0137,562.7,406.3,-7.1009,3.3169
200,7.0490,559.4,411.6,-7.1359,3.2606
201,7.0842,557.4,414.5,-7.1571,3.2299
202,7.1195,554.0,420.7,-7.1931,3.1641
203,7.1547,550.3,427.4,-7.2324,3.0930
204,7.1900,549.1,427.7,-7.2451,3.0899
205,7.2252,544.3,436.5,-7.2960,2.9965
206,7.2605,543.1,437.8,-7.3087,2.9827
207,7.2957,534.7,454.2,-7.3978,2.8088
208,7.3309,530.7,463.5,-7.4403,2.7101
209,7.3662,529.1,466.9,-7.4572,2.6741
210,7.4014,527.1,472.0,-7.4785,2.6200
211,7.4367,524.7,474.5,-7.5039,2.5935
212,7.4719,521.0,482.1,-7.5432,2.5129
213,7.5072,518.4,484.8,-7.5707,2.4842
214,7.5424,516.4,485.8,-7.5919,2.4736
215,7.5777,511.6,497.3,-7.6429,2.3516
216,7.6129,510.5,503.0,-7.6545,2.2912
217,7.6481,507.7,508.3,-7.6842,2.2350
218,7.6834,505.8,512.6,-7.7044,2.1894
219,7.7186,503.8,514.8,-7.7256,2.1660
220,7.7539,500.4,524.2,-7.7617,2.0663
221,7.7891,497.7,530.3,-7.7903,2.0016
222,7.8244,495.1,535.3,-7.8179,1.9486
223,7.8596,492.4,542.0,-7.8465,1.8775
224,7.8949,488.7,547.3,-7.8858,1.8213
225,7.9301,485.7,554.0,-7.9176,1.7502
226,7.9654,483.1,557.9,-7.9452,1.7089
227,8.0006,483.9,561.2,-7.9367,1.6739
228,8.0358,480.4,568.7,-7.9738,1.5943
229,8.0711,477.0,576.4,-8.0099,1.5126
230,8.1063,477.2,577.8,-8.0077,1.4978
231,8.1416,474.0,584.7,-8.0417,1.4246
232,8.1768,472.4,591.4,-8.0586,1.3535
233,8.2121,468.7,602.2,-8.0979,1.2390
234,8.2473,467.1,605.5,-8.1149,1.2040
235,8.2826,465.1,613.1,-8.1361,1.1234
236,8.3178,462.7,618.6,-8.1615,1.0650
237,8.3530,458.3,628.2,-8.2082,0.9632
238,8.3883,456.1,634.0,-8.2315,0.9017
239,8.4235,453.4,640.4,-8.2602,0.8338
240,8.4588,451.1,646.7,-8.2846,0.7670
241,8.4940,450.1,649.9,-8.2952,0.7330
242,8.5293,448.8,656.4,-8.3090,0.6641
243,8.5645,446.1,663.4,-8.3376,0.5899
244,8.5998,444.8,665.1,-8.3514,0.5718
245,8.6350,441.0,675.5,-8.3917,0.4615
246,8.6703,438.4,681.7,-8.4193,0.3957
247,8.7055,435.0,689.1,-8.4553,0.3173
248,8.7407,432.7,697.1,-8.4797,0.2324
249,8.7760,431.8,698.8,-8.4893,0.2144
250,8.8112,429.8,701.5,-8.5105,0.1857
